sa_id,year,announced,topic,category,module,scope_tier,is_priority,cve,cwe,affects,git_hashes,svn_revisions,github_commit_urls,diff_available,data_quality,advisory_raw_url,source,upstream_path,note,commit_grade
FreeBSD-SA-16:15,2016,2016-10-25,Incorrect argument validation in sysarch(2),core,sysarch,kernel,,CVE-2016-1885,,All supported versions of FreeBSD.,49aa3474675b,307941; 307931; 307940; 307932; 307933; 307934; 307938; 307935,https://github.com/freebsd/freebsd-src/commit/49aa3474675b76102b0651c4f0403645faad0c0f,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:15.sysarch.asc,,,,
FreeBSD-SA-16:17,2016,2016-05-04,Multiple OpenSSL vulnerabilities,contrib,openssl,lib,Yes,CVE-2016-2105; CVE-2016-2106; CVE-2016-2107; CVE-2016-2109; CVE-2016-2176,,All supported versions of FreeBSD.,2ae99e0d7b3c,299053; 299068; 298999; 299067; 299066,https://github.com/freebsd/freebsd-src/commit/2ae99e0d7b3c82d8e7c80a5c7bb416f8fb495e46,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:17.openssl.asc,,,,medium
FreeBSD-SA-16:18,2016,2016-05-17,Buffer overflow in keyboard driver,core,atkbd,kernel,,CVE-2016-1886,,All supported versions of FreeBSD.,,300093; 300088; 300091; 300085; 300086; 300087,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:18.atkbd.asc,,,,
FreeBSD-SA-16:19,2016,2016-05-17,Incorrect argument handling in sendmsg(2),core,sendmsg,kernel,,CVE-2016-1887,,FreeBSD 10.x,9e3c39ad2440,300092; 300085; 300086; 300087,https://github.com/freebsd/freebsd-src/commit/9e3c39ad2440fc094fcee685bf3acb58adf8d40b,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:19.sendmsg.asc,,,,
FreeBSD-SA-16:20,2016,2016-05-31,Kernel stack disclosure in Linux compatibility layer,core,linux,kernel,,,,All supported versions of FreeBSD.,bb678412ec7f,301055; 301049; 301054; 301050; 301051; 301052,https://github.com/freebsd/freebsd-src/commit/bb678412ec7f95a4f38069951f8d204bcf22a326,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:20.linux.asc,,,,
FreeBSD-SA-16:21,2016,2016-05-31,Kernel stack disclosure in 4.3BSD compatibility layer,core,43bsd,kernel,,,,All supported versions of FreeBSD.,,301055; 301049; 301054; 301050; 301051; 301052,,,1,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:21.43bsd.asc,,,,
FreeBSD-SA-16:22,2016,2016-05-31,Directory traversal in cpio(1),contrib,libarchive,lib,Yes,CVE-2015-2304,,All supported versions of FreeBSD,fa7060398ff5,300363; 301044; 300361; 301046; 301047; 301048,https://github.com/freebsd/freebsd-src/commit/fa7060398ff506e875ac10a029f576f313ac4438,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:22.libarchive.asc,,,,focused
FreeBSD-SA-16:23,2016,2016-05-31,Buffer overflow in libarchive(3),contrib,libarchive,lib,Yes,CVE-2013-0211,,FreeBSD 9.3,fa7060398ff5,300363; 301044,https://github.com/freebsd/freebsd-src/commit/fa7060398ff506e875ac10a029f576f313ac4438,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:23.libarchive.asc,,,,focused
FreeBSD-SA-16:25,2016,2016-07-25,Heap vulnerability in bspatch,core,bspatch,tool,Yes,CVE-2014-9862,,All supported versions of FreeBSD.,b02c62a3c7d1,303301; 303304; 303300,https://github.com/freebsd/freebsd-src/commit/b02c62a3c7d1f97d30d17c9a21bcbdbf49124b0f,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:25.bspatch.asc,,,,focused
FreeBSD-SA-16:26,2016,2016-09-23; revised on 2016-09-26,Multiple OpenSSL vulnerabilities,contrib,openssl,lib,Yes,CVE-2016-2177; CVE-2016-2178; CVE-2016-2179; CVE-2016-2180; CVE-2016-2181; CVE-2016-2182; CVE-2016-6302; CVE-2016-6303; CVE-2016-6304; CVE-2016-6306,,All supported versions of FreeBSD.,6107c6581a0c,306335; 306336; 306196; 306195; 306198,https://github.com/freebsd/freebsd-src/commit/6107c6581a0c4f2dcc21288dd2bbde22c4909d85,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:26.openssl.asc,,,,focused
